Distritos;X;Y
HUAYLLABAMBA;-13.3418924969; -72.0498099885
POROY;-13.5019173342; -72.0423001471
SAYLLA;-13.5530041065; -71.8317561576
QUELLOUNO;-12.5071220355; -72.445070203
YANATILE;-12.7956971357; -72.1050860429
KIMBIRI;-12.6148820707; -73.6382239156
CHINCHAYPUJIO;-13.6129307698; -72.2715519904
CONCEPCION;-13.5421022252; -73.8804081439
CANGALLO;-13.5997351281; -74.1100726767
MARIA PARADO DE BELLIDO;-13.5680637691; -74.2756629009
PARAS;-13.4607689167; -74.7195767064
QUINUA;-13.0613914799; -74.1345373999
PACAYCASA;-13.0531883864; -74.2326894319
PAUCARTAMBO;-13.301373188; -71.4640607317
COYA;-13.402415678; -71.9153273265
MARCAPATA;-13.6397992652; -70.9126788078
SAN JUAN;-13.2721388336; -75.6885024889
CASTROVIRREYNA;-13.1536663424; -75.2913802344
HUACHOS;-13.2147113912; -75.483404487
HUAMATAMBO;-13.1089468571; -75.6825043542
SAN ANTONIO DE ANTAPARCO;-13.0655212383; -74.4306677957
JULCAMARCA;-13.012517299; -74.4309538479
HUAYLLAY GRANDE;-12.9235699923; -74.6710838969
POMACOCHA;-12.861571456; -74.5200152269
CALLANMARCA;-12.8785731439; -74.6245409363
HUANCAVELICA;-12.8628485416; -75.0086415045
YAULI;-12.8171787691; -74.8290157583
ASCENSION;-12.8284340584; -75.1866180115
PAUCARA;-12.7230618034; -74.7273884693
ROSARIO;-12.7423267243; -74.5999403277
ANDABAMBA;-12.6611878053; -74.6549277025
PALCA;-12.6695814123; -74.979137146
ACOBAMBILLA;-12.7040921879; -75.3712733076
HUANDO;-12.6272857517; -75.0136089481
NUEVO OCCORO;-12.7077473511; -75.1392432576
LARIA;-12.5532460318; -75.0802488315
IZCUCHACA;-12.4963449055; -75.0135551762
MOYA;-12.4637791677; -75.1317699926
HUAYLLAHUARA;-12.4014726904; -75.1829661304
PILCHACA;-12.4136140933; -75.0889915053
PAMPAS;-12.4513653722; -74.8516899757
AHUAYCHA;-12.4441552174; -74.9061588826
PAZOS;-12.2215692743; -75.0262527528
EL CARMEN;-12.7114298814; -74.4974078585
PAUCARBAMBA;-12.5691452616; -74.5261939091
SAN MIGUEL DE MAYOCC;-12.7878914468; -74.4100038501
SAN PEDRO DE CORIS;-12.6073440212; -74.4002347716
LOCROJA;-12.7173561993; -74.45471843
GROCIO PRADO;-13.3115867341; -76.1674329287
SAN JUAN DE YANAC;-13.224714009; -75.814320586
SAN PEDRO DE HUACARPANA;-13.0786168993; -75.7283693941
TAMBO DE MORA;-13.4603423724; -76.1834154467
PUCARA;-12.1801997636; -75.100514813
